Player,Team,Age,Nationality,Runs,BattingAverage,StrikeRate,100s,50s,Wickets,BowlingAverage,Economy,Role,AuctionPrice,AcquisitionType
M Siddharth (LSG),LSG,26,India,0,0,0,0,0,2,33.5,9.57,Bowler,0.8,Retained
M Theekshana (RR),RR,24,South Africa,10,5,37.03,0,0,11,37.27,9.76,Bowler,N/A,Unsold
M Tiwari (DC),DC,21,India,3,3,75,0,0,0,0,0,Batsman,0.4,Retained
MA Agarwal (RCB),RCB,34,South Africa,95,31.66,148.43,0,0,0,0,0,Batsman,N/A,Unsold
MA Starc (DC),DC,35,India,6,3,60,0,0,14,26.14,10.16,Bowler,11.8,Retained
MJ Santner (MI),MI,33,Afghanistan,40,20,121.21,0,0,10,31.3,7.92,Bowler,2.0,Retained
MK Pandey (KKR),KKR,35,Afghanistan,92,46,141.53,0,0,0,0,0,Batsman,0.8,Retained
MM Ali (KKR),KKR,37,New Zealand,5,2.5,35.71,0,0,6,22.66,8.5,Bowler,N/A,N/A
MM Sharma (DC),DC,36,India,0,0,0,0,0,2,128.5,10.28,Bowler,3.8,Retained
MP Breetzke (LSG),LSG,26,India,14,14,116.66,0,0,0,0,0,Batsman,0.8,Retained
MP Stoinis (PBKS),PBKS,35,New Zealand,160,26.66,186.04,0,0,0,0,0,Batsman,11.0,Retained
MP Yadav (LSG),LSG,22,India,0,0,0,0,0,2,50,12.5,Bowler,11.0,Retained
MR Marsh (LSG),LSG,33,Australia,627,48.23,163.7,1,6,0,0,0,Batsman,3.4,Retained
MS Dhoni (CSK),CSK,43,New Zealand,196,24.5,135.17,0,0,0,0,0,Wicketkeeper,4.0,Retained
Mohammed Shami (SRH),SRH,34,South Africa,10,10,100,0,0,6,56.16,11.23,Bowler,10.0,Retained
Mohammed Siraj (GT),GT,31,India,3,-,75,0,0,16,32.93,9.24,Bowler,12.2,Retained
Mukesh Choudhary (CSK),CSK,28,India,0,0,0,0,0,1,71,11.83,Bowler,0.3,Retained
Mukesh Kumar (DC),DC,31,India,0,0,0,0,0,12,34,10.32,Bowler,8.0,Retained
